OF_DEPARTURE_COUNTRY,OF_DEPLV2,OF_DEPLV1,OF_DEPLV0,OF_DEPARTURE_CITY,OF_DEPARTURE_ZIPCODE,OF_DEPARTURE_COORDINATE_X,OF_DEPARTURE_COORDINATE_Y,OF_ARRIVAL_COUNTRY,OF_ARRLV2,OF_ARRLV1,OF_ARRLV0,OF_ARRIVAL_CITY,OF_ARRIVAL_ZIPCODE,OF_ARRIVAL_COORDINATE_X,OF_ARRIVAL_COORDINATE_Y,OF_WEIGHT,OF_VOLUME,OF_LENGTH,OF_GOODS_KND,OF_TAIL_LIFT,OF_PALLETS_EXCHANGE,OF_NB_PALLETS
I,2,VEN,35,BORGORICCO,35010,1196565,4553328,F,RP,93,,NEUILLY-SUR-MARNE,93330,253256,4886288,2432,0,56,MG,N,N,0
D,BW,89,,JETTINGEN-SCHEPPACH,89343,1043891,4838966,B,WV,87,,WAREGEM,8790,343525,5088354,230,0,10,MG,N,N,0
D,HE,65,,LIMBURG AN DER LAHN,65556,804601,5039053,D,SN,1,,DRESDEN,1328,1388428,5106088,6375,0,40,MG,N,N,0
F,MP,31,,BOULOC,31620,140606,4378051,F,BR,22,,SAINT-CARN�,22100,-206668,4841567,800,0,20,MG,N,N,0
F,RA,69,,VILLEURBANNE,69100,488766,4576945,F,BR,35,,RENNES,35000,-168468,4811026,800,0,18,MG,N,N,0
D,WF,57,,BURBACH,57299,807633,5074879,F,NO,27,,PONT-AUDEMER,27500,51301,4935416,5000,0,70,MG,N,N,0
PL,8,8,81,GDYNIA,81-330,1853207,5451470,P,NO,53,,ABREIRO [MIRANDELA],5370-021,-729454,4135077,24000,0,136,MG,N,N,0
D,NB,91,,WEISSENBURG IN BAYERN,91781,1097348,4902941,D,ON,38,,B�DDENSTEDT,38372,1101954,5216978,1100,0,20,MG,N,N,0
F,RA,38,,BEAUREPAIRE,38270,505262,4533983,B,WV,87,,WAREGEM,8790,343149,5088740,1200,0,27,MG,N,N,0
D,WF,32,,RAHDEN,32369,861898,5243188,D,WF,48,,SENDEN,48308,748294,5185841,23184,0,140,MG,N,N,0
I,3,FVG,33,UDINE,33100,1323333,4606275,A,3,SB,50,SALZBURG,5020,1303764,4780284,24000,0,136,MG,N,N,0
F,NP,60,,BEAUVAIS,60000,208320,4942957,F,PL,53,,LAVAL,53000,-77307,4807273,18000,0,90,MG,N,N,0
F,BF,70,,VESOUL,70000,615917,4762884,F,BF,89,,MIGENNES,89400,351700,4796571,8000,0,50,MG,N,N,0
E,E10,BU,9,BURGOS,9002,-369366,4233734,NL,GL,70,,DOETINCHEM,7003,630619,5196271,24000,0,136,MG,N,N,0
