OF_DEPARTURE_COUNTRY,OF_DEPLV2,OF_DEPLV1,OF_DEPLV0,OF_DEPARTURE_CITY,OF_DEPARTURE_ZIPCODE,OF_DEPARTURE_COORDINATE_X,OF_DEPARTURE_COORDINATE_Y,OF_ARRIVAL_COUNTRY,OF_ARRLV2,OF_ARRLV1,OF_ARRLV0,OF_ARRIVAL_CITY,OF_ARRIVAL_ZIPCODE,OF_ARRIVAL_COORDINATE_X,OF_ARRIVAL_COORDINATE_Y,OF_WEIGHT,OF_VOLUME,OF_LENGTH,OF_GOODS_KND,OF_TAIL_LIFT,OF_PALLETS_EXCHANGE,OF_NB_PALLETS
D,SN,1,,DRESDEN,1067,1372931,5105325,A,3,SB,57,ZELL AM SEE,5700,1279591,4732422,2500,0,36,MG,N,N,0
D,HE,63,,RODGAU,63110,888338,5002555,D,SB,86,,AUGSBURG,86156,1085531,4838383,600,0,80,MG,N,N,0
F,BF,21,,NUITS-SAINT-GEORGES,21700,495020,4713768,F,RA,1,,SAINT-TRIVIER-SUR-MOIGNANS,1990,489804,4607179,24000,0,136,MG,N,N,0
F,NP,62,,ANVIN,62134,225617,5044640,F,BR,29,,QUIMPER,29000,-410790,4799464,10000,0,50,MG,N,N,0
E,E10,BU,9,MIRANDA DE EBRO,9200,-294560,4268634,P,SU,80,,FARO,8000-150,-793274,3701819,24000,0,136,MG,N,N,0
D,PS,67,,LUDWIGSHAFEN AM RHEIN,67059,843779,4948046,D,SN,4,,LEIPZIG,4155,1234776,5135529,24000,0,136,MG,N,N,0
NL,ZH,26,,ROTTERDAM,2661,451216,5196279,NL,LB,61,,SITTARD-GELEEN,6123,580885,5103182,24000,0,136,MG,N,N,0
F,NP,80,,ABBEVILLE,80100,183484,5010504,F,BR,56,,BR�HAN,56580,-268686,4806073,24000,0,130,MG,N,N,0
PL,7,7,74,BANIE,74-110,1461060,5308301,PL,7,7,74,BANIE,74-110,1466332,5310041,24000,0,136,BE,N,N,0
F,RP,77,,DAMMARTIN-EN-GO�LE,77230,267711,4905385,F,RA,73,,LE PONT-DE-BEAUVOISIN,73330,567322,4553607,2100,0,40,MG,Y,N,0
D,HE,63,,BESSENBACH,63856,925299,4994946,D,BW,68,,MANNHEIM,68229,857204,4943226,22000,0,136,MG,N,N,0
F,AL,57,,FLORANGE,57190,612391,4932252,F,NP,59,,DOUAI,59500,307841,5037575,20000,0,0,MG,N,N,0
F,MP,12,,CAPDENAC-GARE,12700,208164,4457189,B,LG,40,,MILMORT [HERSTAL],4041,559454,5068841,4000,0,32,MG,N,N,0
D,BW,68,,MANNHEIM,68161,847089,4948591,B,AN,20,,ANTWERPEN,2030,439738,5122173,10000,0,136,MG,N,N,0
D,HE,35,,HAIGER,35708,820051,5074357,B,HT,77,,MOUSCRON,7700,321458,5074379,500,0,10,MG,N,N,0
NL,GL,65,,NIJMEGEN,6541,583888,5184844,F,AU,3,,YZEURE,3400,335355,4656650,3400,0,40,MG,N,N,0
D,BW,74,,CRAILSHEIM,74564,1006624,4913621,D,SB,82,,PENZBERG,82377,1137058,4775484,2000,0,36,MG,N,N,0
PL,8,8,85,BYDGOSZCZ,85-790,1800780,5311931,PL,8,8,86,KORONOWO,86-***,1792518,5331490,5000,0,55,MG,Y,Y,0
F,NO,14,,CAEN,14000,-36825,4918531,B,AN,20,,ANVERS,2000,440247,5121822,24000,0,136,MG,N,N,0
F,AL,67,,STRASBOURG,67200,773610,4858517,B,HT,78,,SILLY,7830,392384,5064954,1800,0,20,MG,N,N,0
F,MP,31,,BAGN�RES-DE-LUCHON,31110,59122,4279111,F,CE,45,,ORL�ANS,45100,190495,4790143,1600,0,12,MG,N,N,0
PL,6,6,62,KALISZ,62-800,1810170,5177185,PL,7,7,75,KOSZALIN,75-007,1618242,5419040,24000,0,136,MG,Y,Y,0
F,AQ,40,,DAX,40100,-105361,4370390,F,NP,62,,SAINT-OMER,62500,225816,5075205,25000,0,136,MG,N,N,0
F,PC,17,,LA ROCHELLE,17000,-116062,4616136,F,CE,41,,DANZ�,41160,102682,4789242,25000,0,130,MG,N,N,0
PL,4,4,49,NIEMODLIN,49-130,1761816,5064235,I,2,VEN,31,PAESE,31038,1216125,4567611,24000,0,130,MG,N,N,0
I,2,TAA,38,TRENTO,38100,1111881,4606998,A,3,TI,60,INNSBRUCK,6020,1139818,4726728,24000,0,136,MG,N,N,0
F,RP,78,,HOUDAN,78550,160145,4879076,F,MP,31,,BESSI�RES,31660,160658,4380013,13000,0,135,MG,N,N,0
B,WV,80,,BRUGGE,8000,322448,5120848,F,NO,14,,ISIGNY-SUR-MER,14230,-110240,4931711,24000,0,130,MG,N,N,0
I,1,LOM,20,MILANO,20121,918102,4546895,D,SA,6,,HALLE,6108,1197548,5148132,24000,0,136,MG,N,N,0
D,ON,30,,HANNOVER,30453,966320,5238161,D,BW,78,,STOCKACH,78333,901033,4785278,20000,0,136,MG,N,N,0
E,E8,C,15,BERGONDO,15008,-823148,4331570,E,E8,PO,36,VIGO,36315,-871856,4216541,5200,0,32,MG,N,N,0
F,AL,54,,PONT-�-MOUSSON,54700,605493,4890297,F,AL,54,,AUBOU�,54580,597439,4921290,20000,0,136,MG,N,N,0
D,SN,4,,WALDHEIM,4736,1301878,5107320,D,BW,79,,ESCHBACH,79427,765408,4788988,3500,0,56,MG,N,N,0
I,1,LOM,25,ROVATO,25038,1000162,4556615,F,RP,91,,�VRY,91000,243796,4862873,24000,0,136,MG,N,N,0
F,PL,85,,FONTENAY-LE-COMTE,85200,-80309,4646514,F,NP,62,,MARCK,62730,194518,5094823,350,0,13,MG,N,N,0
NL,FL,13,,WEESP,1382,503731,5231247,B,AN,20,,ANVERS,2000,440247,5121822,500,0,22,MG,N,N,0
F,NO,76,,SAINT-�TIENNE-DU-ROUVRAY,76800,108888,4938810,F,PL,72,,LE MANS,72000,19563,4800795,15000,0,134,MG,N,N,0
D,SA,39,,BEENDORF,39343,1108779,5224267,D,RL,47,,KREFELD,47798,655918,5133204,25000,0,136,MG,N,N,0
D,SA,39,,ZERBST,39261,1208590,5196255,D,WF,58,,L�DENSCHEID,58515,763272,5120562,14282,0,136,MG,N,N,0
F,MP,81,,ALBI,81000,214838,4392621,F,CH,10,,TROYES,10000,407432,4829787,24000,0,136,MG,N,N,0
D,MV,17,,NEUBRANDENBURG,17033,1326416,5354179,D,WF,45,,DATTELN,45711,733713,5164992,21000,0,136,MG,N,N,0
I,0,PIE,28,CASTELLETTO SOPRA TICINO,28053,863892,4571359,NL,NH,10,,AMSTERDAM,1011,490448,5237161,1000,0,15,MG,N,N,0
F,RA,69,,MIONS,69780,495478,4566296,F,RP,75,,17E ARRONDISSEMENT [PARIS],75017,230513,4888693,2000,0,60,MG,N,N,0
F,NO,14,,SAINT-D�SIR,14100,20527,4913354,F,BR,29,,DOUARNENEZ,29100,-433294,4808988,1000,0,10,MG,N,N,0
NL,ZH,31,,VLAARDINGEN,3133,432003,5190137,B,BR,18,,LONDERZEEL,1840,430737,5100744,25946,0,136,MG,N,N,0
F,OC,34,,VENDARGUES,34740,396986,4365832,F,RA,26,,SAINT-PAUL-TROIS-CH�TEAUX,26130,476750,4434822,10000,0,90,MG,N,N,0
F,AQ,40,,CASTETS,40260,-114600,4388448,F,MP,82,,N�GREPELISSE,82800,152277,4407354,25000,0,136,MG,N,N,0
F,OC,30,,VERG�ZE,30310,422138,4374369,F,RA,69,,V�NISSIEUX,69200,488510,4569657,24000,0,136,MG,N,N,0
PL,1,1,19,E?K,19-3**,2233529,5376850,PL,6,6,63,NOWE SKALMIERZYCE,63-460,1798924,5170808,24000,0,136,MG,N,N,0
F,CE,36,,CH�TEAUROUX,36000,169603,4680612,D,PS,67,,WORMS,67547,836262,4963015,15000,0,140,MG,N,N,0
D,BW,68,,MANNHEIM,68219,853551,4944352,D,BR,12,,BERLIN,12349,1341996,5242632,500,0,31,MG,N,N,0
I,2,VEN,37,VERONA,37122,1099151,4543816,NL,ZH,30,,ROTTERDAM,3012,447839,5192285,20000,0,136,MG,N,N,0
I,1,LOM,22,COMO,22100,907414,4580845,F,RP,93,,BONDY,93140,248014,4890291,24000,0,136,MG,N,N,0
D,NB,97,,BERGRHEINFELD,97493,1018017,5000957,D,ON,29,,SUHLENDORF,29562,1076184,5292660,3800,0,100,MG,N,N,0
F,BF,70,,LA C�TE,70200,657305,4768688,F,NO,76,,SAINT-ROMAIN-DE-COLBOSC,76430,35652,4953047,2269,0,130,MG,N,N,0
PL,0,0,0,WARSZAWA,00-049,2100914,5223532,PL,6,6,62,KALISZ,62-800,1810170,5177185,24000,0,136,MG,N,N,0
F,PL,53,,LAVAL,53000,-77346,4806883,F,NO,76,,DIEPPEDALLE CROISSET,76380,102030,4942999,5000,0,70,MG,N,N,0
D,HE,34,,KORBACH,34497,887409,5127338,D,PS,67,,KAISERSLAUTERN,67663,774941,4943170,5000,0,60,MG,N,N,0
F,PL,49,,COMBR�E,49520,-103155,4770460,F,CH,51,,REIMS,51100,403025,4924985,500,0,10,MG,N,N,0
F,RP,94,,FONTENAY-SOUS-BOIS,94120,247230,4885094,F,RA,69,,VOURLES,69390,477601,4566097,22000,0,130,MG,N,N,0
E,E2,B,8,LA GARRIGA,8530,228592,4168307,F,MP,31,,TOULOUSE,31000,145611,4360106,3000,0,20,MG,N,N,0
NL,NB,51,,BAARLE-NASSAU,5111,492628,5144974,F,PC,86,,SAINT-BENO�T,86280,34234,4654990,3200,0,20,MG,N,N,0
F,AQ,47,,CASTELJALOUX,47700,8490,4431397,F,BF,21,,DIJON,21000,504419,4732639,1000,0,11,MG,N,N,0
F,RA,69,,TERNAY,69360,481010,4560644,F,PL,85,,MONTAIGU,85600,-131270,4697535,700,0,20,MG,N,N,0
F,AQ,33,,PESSAC,33600,-65222,4480005,E,E2,T,43,VALLMOLL,43144,124919,4124443,24000,0,136,MG,N,N,0
F,BF,70,,LA C�TE,70200,657305,4768688,F,RP,77,,COMBS-LA-VILLE,77380,256344,4865957,10953,0,130,MG,N,N,0
F,CE,28,,�PERNON,28230,167714,4860906,D,HE,65,,LIMBURG AN DER LAHN,65549,806495,5038499,2100,0,20,TD,N,N,0
F,NP,59,,LILLE,59000,306280,5063717,F,BR,35,,RENNES,35000,-168468,4811026,26500,0,136,MG,N,N,0
F,RA,42,,SAINT-�TIENNE,42000,438912,4544863,F,NP,2,,PLOISY,2200,329347,4933247,3000,70,28,MG,N,N,0
F,PL,49,,SAUMUR,49400,-7933,4725977,F,MP,82,,MOISSAC,82200,108215,4410330,20000,0,136,TD,N,N,0
E,E3,CS,12,CASTELL�N DE LA PLANA,12001,-3853,3998676,F,CH,52,,SAINT-DIZIER,52100,496200,4863662,24000,0,120,MG,N,N,0
F,RA,69,,GENAS,69740,500029,4573178,B,AN,20,,ANTWERPEN,2000,439738,5122173,10000,0,88,MG,N,N,0
PL,5,5,55,SRODA SLASKA,55-300,1659410,5116482,A,1,WI,11,WIEN,1110,1641971,4817092,22000,0,136,MG,N,N,0
E,E11,M,28,MADRID,28013,-370573,4042031,F,RA,26,,VALENCE,26000,490379,4492625,24000,0,136,MG,N,N,0
F,MP,82,,MONTAUBAN,82000,135274,4401652,F,BR,22,,DINAN,22100,-204800,4845427,27000,0,134,MG,N,N,0
E,E2,B,8,BADALONA,8915,225288,4146266,F,CE,18,,AUBIGNY-SUR-N�RE,18700,243818,4748780,24000,0,136,MG,N,N,0
F,AU,87,,CH�TEAUNEUF-LA-FOR�T,87130,160902,4571475,F,CE,45,,BATILLY-EN-G�TINAIS,45340,238602,4807466,10000,0,134,MG,N,N,0
F,BR,56,,LORIENT,56100,-336524,4774819,F,NO,27,,LOUVIERS,27400,116935,4921618,8000,0,40,MG,N,N,0
F,BF,70,,VESOUL,70000,615917,4762884,F,AL,68,,KAYSERSBERG,68240,726022,4814088,24000,0,134,MG,N,N,0
F,AL,68,,NEUF-BRISACH,68600,752909,4801842,D,NB,93,,TEUBLITZ,93158,1208530,4922090,25000,0,136,MG,N,N,0
NL,NB,56,,EINDHOVEN,5611,548082,5143736,F,NO,76,,ROUEN,76000,110402,4944581,24000,0,136,MG,N,N,0
F,BR,29,,LOCRONAN,29180,-420465,4809885,F,PC,79,,CELLES-SUR-BELLE,79370,-21354,4626098,800,0,20,MG,N,N,0
D,ON,37,,HERZBERG AM HARZ,37412,1033847,5165479,D,ON,31,,B�CKEBURG,31675,905008,5225906,3700,0,24,MG,N,N,0
D,WN,49,,ALFHAUSEN,49594,795401,5250118,D,SN,4,,BRANDIS,4824,1257142,5132339,13300,0,88,MG,N,N,0
F,AL,57,,THIONVILLE,57100,616908,4935761,F,NP,62,,CALAIS,62100,185283,5095300,24000,0,136,MG,N,N,0
B,AN,20,,ZWIJNDRECHT,2070,432873,5121601,D,PS,56,,POLCH,56751,731135,5029856,24000,0,136,MG,N,N,0
F,NP,62,,HESDIN,62140,203614,5037197,F,PL,72,,CHAMPAGN�,72470,33049,4802403,24000,0,136,MG,N,N,0
F,CH,51,,DORMANS,51700,364270,4907593,F,NO,14,,CREULLY,14480,-53777,4928174,10000,0,60,MG,N,N,0
F,AQ,40,,LABOUHEYRE,40210,-91832,4420883,I,0,PIE,12,CEVA,12073,803077,4438538,24840,0,134,MG,N,N,0
F,AQ,40,,LABOUHEYRE,40210,-91944,4421349,F,MP,9,,PAMIERS,9100,161239,4311355,29000,0,130,MG,N,N,0
D,NB,90,,N�RNBERG,90451,1104310,4940720,D,WN,28,,BREMEN,28307,891696,5304261,20000,0,132,MG,N,N,0
I,0,PIE,10,TORINO,10153,770539,4506951,F,BF,71,,CHALON-SUR-SA�NE,71100,485500,4677968,25000,0,136,MG,N,N,0
F,OC,30,,N�MES,30900,435612,4383003,F,MP,31,,TOULOUSE,31100,144868,4360573,25000,0,130,MG,N,N,0
F,AL,88,,VITTEL,88800,594870,4820109,D,PS,67,,SPEYER,67346,842936,4932416,24000,0,136,MG,N,N,0
F,NP,59,,LILLE,59000,306280,5063717,F,PL,53,,LAVAL,53000,-77307,4807273,26000,0,136,MG,N,N,0
F,RA,69,,LYON,69002,482978,4575418,F,PR,13,,MARSEILLE,13001,538060,4329823,24000,800,0,BE,N,N,0
F,NP,62,,CALAIS,62100,185283,5095300,P,NO,47,,LEMENDE [TROFA],4785-024,-854663,4131267,300,0,12,MG,N,N,0
F,CH,52,,SOULAUCOURT-SUR-MOUZON,52150,567974,4819861,B,HT,75,,TOURNAI,7500,338797,5060739,27000,0,136,MG,N,N,0
B,LM,36,,GENK,3600,549904,5096360,F,NP,62,,LENS,62300,283295,5042935,25000,0,134,MG,N,N,0
F,RP,91,,LISSES,91090,242395,4859770,F,NP,80,,CHAULNES,80320,280384,4981543,24000,0,136,MG,N,N,0
F,AQ,40,,CASTETS,40260,-114600,4388448,I,1,LOM,20,MILANO,20121,918102,4546895,24000,0,136,MG,N,N,0
F,PR,84,,VALR�AS,84600,499220,4438303,F,AQ,47,,LE PASSAGE,47520,60048,4418691,9800,0,120,MG,N,N,0
I,0,LIG,16,GENOVA,16162,897081,4443664,NL,ZH,30,,ROTTERDAM,3059,458907,5198115,3400,0,20,MG,N,N,0
D,PS,67,,WORMS,67547,836262,4963015,D,WF,48,,M?nster,48165,767204,5190345,4800,0,36,MG,N,N,0
D,PS,67,,WORMS,67547,836262,4963015,D,WF,48,,M?nster,48165,767204,5190345,4800,0,36,MG,N,N,0
F,NP,59,,VALENCIENNES,59300,352133,5035694,F,CH,51,,RECY,51520,431684,4898924,24000,0,136,MG,N,N,33
NL,ZH,31,,ROTTERDAM,3197,426272,5188338,D,RL,42,,VELBERT,42553,705871,5132477,25000,0,136,MG,N,N,0
D,PS,56,,KOBLENZ,56068,759280,5036080,NL,NB,52,,'S-HERTOGENBOSCH,5222,527434,5170374,19000,0,136,MG,N,N,0
F,BF,21,,DIJON,21000,504419,4732639,F,RA,1,,SAINT-VULBAS,1150,529008,4583241,24000,0,136,MG,N,N,0
F,BF,58,,COSNE-COURS-SUR-LOIRE,58200,292426,4740982,F,BR,35,,GA�L,35290,-222322,4813183,26400,0,136,MG,N,N,0
F,AQ,40,,LABOUHEYRE,40210,-91832,4420883,I,0,PIE,13,CERRIONE,13882,806801,4546823,24840,0,134,MG,N,N,0
D,WF,32,,MINDEN,32423,893162,5228954,NL,FR,84,,HEERENVEEN,8448,594328,5296283,25200,0,120,MG,N,N,0
F,BF,70,,GRAY,70100,559133,4744248,NL,GR,97,,GRONINGEN,9711,656977,5321639,10000,0,75,MG,N,N,0
F,NO,76,,DARN�TAL,76160,114608,4944073,F,AQ,33,,BARSAC,33720,-31424,4460922,18000,0,100,MG,N,N,0
F,RP,94,,VITRY-SUR-SEINE,94400,238814,4878905,F,RA,73,,CHAMB�RY,73000,592093,4556663,24000,0,136,TD,N,N,0
F,NP,60,,CHAMBLY,60230,224492,4916634,F,AL,54,,DOMBASLE-SUR-MEURTHE,54110,634944,4862267,2000,0,20,MG,N,N,0
F,PC,86,,LUSIGNAN,86600,12474,4643626,F,AL,54,,HEILLECOURT,54180,619680,4864722,1036,0,30,MG,N,N,0
F,BF,58,,NEVERS,58000,315462,4699157,F,PL,49,,SAINT-SYLVAIN-D'ANJOU,49480,-47124,4751991,10000,0,130,MG,N,N,0
E,E2,B,8,BARCELONA,8001,216897,4138004,F,RA,73,,SAINT-BON-TARENTAISE,73120,662292,4543269,24000,0,136,MG,N,N,0
F,PC,79,,SAUZ�-VAUSSAIS,79190,10285,4613662,B,NA,53,,SEILLES [ANDENNE],5300,509095,5050074,24000,0,136,BE,N,N,0
F,PC,79,,MAUL�ON,79700,-75426,4692510,F,PL,49,,TR�MENTINES,49340,-78808,4712356,15000,0,132,MG,N,N,0
D,ON,38,,BRAUNSCHWEIG,38126,1055790,5224034,D,NB,97,,W�RZBURG,97080,992319,4980401,4800,0,25,MG,N,N,0
F,PC,79,,NIORT,79000,-46273,4632115,NL,NH,10,,AMSTERDAM,1012,489319,5237311,24000,0,136,MG,N,N,0
F,AQ,33,,AILLAS,33124,-7306,4447382,F,AU,19,,BRIVE-LA-GAILLARDE,19100,153587,4515703,24000,0,136,MG,N,N,0
D,RL,52,,AACHEN,52062,608841,5077804,F,RP,77,,COMBS-LA-VILLE,77380,255695,4866608,24000,0,134,MG,N,N,0
D,SN,4,,LAUSSIG,4838,1263080,5154557,D,BW,74,,WEINSBERG,74189,928732,4914894,1100,0,38,MG,N,N,0
A,1,OO,43,MAUTHAUSEN,4310,1451738,4824350,A,3,TI,63,FIEBERBRUNN,6391,1253681,4748116,24000,0,136,MG,N,N,0
F,AU,63,,CLERMONT-FERRAND,63000,309416,4577325,D,BW,74,,NECKARSULM,74172,923076,4919487,24000,0,136,MG,N,N,0
NL,ZL,43,,VLISSINGEN,4381,357267,5144271,F,CE,45,,PANNES,45700,266816,4801799,24000,0,136,MG,N,N,0
P,SU,71,,VILA VI�OSA,7160-283,-741888,3878020,F,PR,84,,LE THOR,84250,499531,4392938,2500,0,27,MG,N,N,0
I,1,LOM,20,PESCHIERA BORROMEO,20068,931268,4543221,B,AN,28,,MALINES,2800,447895,5102564,1899,0,16,MG,N,N,0
B,HT,73,,QUI�VRAIN,7380,368448,5040565,F,AL,67,,SELTZ,67470,810335,4889537,23000,0,120,MG,N,N,0
F,RP,91,,SAINTE-GENEVI�VE-DES-BOIS,91700,232957,4864255,F,AL,57,,HAUCONCOURT,57280,619001,4921932,430,0,4,MG,N,N,0
D,WF,32,,B�NDE,32257,858494,5219832,NL,NH,15,,ZAANDAM [ZAANSTAD],1506,481875,5244119,23000,0,130,MG,N,N,0
F,BF,21,,BEAUNE,21200,484146,4702343,F,NO,76,,LE HAVRE,76600,13187,4949364,1927,307,40,MG,N,N,0
B,BR,30,,LEUVEN,3000,470370,5087935,D,BW,78,,RADOLFZELL AM BODENSEE,78315,897016,4774493,1000,0,88,MG,N,N,0
I,4,TOS,56,PONTEDERA,56025,1063453,4366294,NL,GL,70,,MONTFERLAND,7044,626402,5188418,12000,0,136,MG,N,N,0
F,PL,53,,ARGENTR�,53210,-64154,4808394,F,BR,35,,BETTON,35760,-167520,4816256,10000,0,130,MG,N,N,0
F,AQ,64,,HENDAYE,64700,-177028,4336028,F,BR,35,,RENNES,35000,-168446,4810774,24000,0,136,MG,N,N,0
F,AL,57,,SAINT-AVOLD,57500,671255,4910743,I,2,VEN,35,PADOVA,35139,1187146,4540810,13000,0,240,MG,N,N,0
A,2,KT,91,EISENKAPPEL-VELLACH,9135,1459165,4648773,A,1,WI,11,WIEN 10. BEZIRK [WIEN],1100,1637879,4817269,200,0,8,MG,N,N,0
GB,4,CH,,DEESIDE,CH5 3,-301298,5318766,PL,4,4,43,JAWORZNO,43-603,1922032,5022723,6000,0,25,MG,N,N,0
F,BF,71,,BEY,71620,496733,4681959,I,6,ABR,66,LENTELLA,66050,1467708,4199585,2500,0,30,MG,N,N,0
F,RA,42,,SAINT-CHAMOND,42400,451209,4547390,F,AL,57,,MARANGE-SILVANGE,57535,611730,4921615,500,0,10,MG,N,N,0
I,4,TOS,55,LUCCA,55100,1050248,4384272,F,AL,54,,NANCY,54000,617616,4868961,24000,0,136,MG,N,N,0
D,BR,15,,F�RSTENWALDE/SPREE,15517,1406574,5235798,NL,ZH,30,,ROTTERDAM,3089,443319,5187809,24000,0,136,MG,N,N,0
F,AQ,24,,BERGERAC,24100,48335,4485326,I,2,VEN,35,CARMIGNANO DI BRENTA,35010,1170299,4562849,24000,0,136,MG,N,N,0
F,NP,60,,BONNEUIL-LES-EAUX,60120,223519,4967837,F,NP,59,,SARS-ET-ROSI�RES,59230,333101,5044588,2000,0,16,MG,N,N,0
F,RP,95,,BEZONS,95870,221140,4892824,F,PR,83,,LA GARDE,83130,600718,4312488,4000,0,60,MG,N,N,0
D,ON,37,,EFFELDER,37359,1024699,5123987,D,PS,67,,HELTERSBERG,67716,771516,4931183,2400,0,45,MG,N,N,0
E,E3,MU,30,MORATALLA,30440,-189260,3818876,E,E2,LE,25,GOLM�S,25241,93239,4163350,24000,0,136,MG,N,N,0
F,NP,80,,AMIENS,80000,229315,4989474,F,BR,29,,CAST,29150,-413882,4815763,2000,0,33,MG,N,N,0
NL,OL,75,,DE LUTTE [LOSSER],7587,698695,5231244,NL,NB,51,,RIJEN [GILZE EN RIJEN],5121,491884,5158903,10000,0,136,MG,N,N,0
F,CE,41,,SAINT-AIGNAN,41110,137640,4727010,F,PL,44,,SAINT-NAZAIRE,44600,-221241,4727867,24000,0,136,MG,N,N,0
F,CE,45,,ORL�ANS,45100,190495,4790143,D,BW,76,,KARLSRUHE,76131,840899,4901055,24000,0,136,MG,N,N,0
PL,0,0,0,WARSZAWA,00-049,2100914,5223532,E,E5,CA,11,ALGECIRAS,11203,-545762,3613099,18000,0,136,MG,N,N,0
NL,NB,50,,TILBURG,50**,510638,5155472,D,BW,68,,MANNHEIM,68161,847089,4948590,2000,0,40,MG,N,N,0
D,SB,80,,M�NCHEN,80807,1159177,4818310,D,NB,90,,N�RNBERG,90431,1102490,4944689,7000,0,52,MG,N,N,0
D,RL,52,,D�REN,52349,648279,5080470,F,CE,45,,ORL�ANS,45100,190495,4790143,5000,0,66,MG,N,N,0
F,AQ,33,,BIGANOS,33380,-97649,4464179,I,2,VEN,31,SUSEGANA,31058,1224854,4585103,25000,0,136,MG,N,N,0
F,BF,21,,VENAREY-LES-LAUMES,21150,445663,4754187,F,NP,59,,DOUAI,59500,307841,5037575,250,0,10,MG,N,N,0
D,SN,9,,Z�BLITZ,9517,1323160,5065823,D,BR,10,,BERLIN,10115,1338744,5253156,2000,0,30,MG,N,N,0
D,WF,45,,GELSENKIRCHEN,45896,700711,5158966,D,MV,19,,KARST�DT,19357,1174649,5315827,4100,0,28,MG,N,N,0
D,BW,76,,PFINZTAL,76327,854342,4898680,NL,DR,79,,HOOGEVEEN,7901,647309,5272708,25500,0,136,MG,N,N,0
I,1,LOM,46,POGGIO RUSCO,46025,1112088,4497716,F,BR,56,,PONTIVY,56300,-296614,4806492,4000,0,30,MG,N,N,0
F,AL,57,,SARREGUEMINES,57200,707333,4911125,F,PL,85,,LU�ON,85400,-116655,4645496,24000,0,134,MG,N,N,0
F,AU,19,,USSEL,19200,230803,4554628,F,CE,41,,VEND�ME,41100,106476,4779229,24000,0,136,MG,N,N,0
F,RP,77,,GRETZ-ARMAINVILLIERS,77220,272927,4873866,F,NO,14,,BLAINVILLE-SUR-ORNE,14550,-30489,4922819,5000,0,60,MG,N,N,0
F,RA,73,,ALBIEZ-LE-JEUNE,73300,635272,4524401,I,8,CAM,81,MARCIANISE,81025,1429739,4103277,20482,0,136,MG,N,N,0
D,TN,7,,GERA,7548,1206869,5087483,D,NB,96,,COBURG,96450,1096347,5026081,8000,0,136,MG,N,N,0
F,PL,44,,LEG�,44650,-159808,4688514,F,RP,77,,COMBS-LA-VILLE,77380,255695,4866608,24000,0,130,MG,N,N,0
F,CE,36,,LE POIN�ONNET,36330,171304,4677082,I,1,LOM,20,MILANO,20123,917691,4546304,24000,0,136,MG,N,N,0
F,PL,44,,NANTES,44100,-159150,4721104,I,0,PIE,28,NOVARA,28100,861989,4544808,24000,0,136,MG,N,N,0
F,AU,87,,ISLE,87170,122315,4580799,E,E11,M,28,MADRID,28017,-364453,4042739,2500,0,35,MG,N,N,0
D,RL,40,,D�SSELDORF,40217,677605,5121563,NL,NB,48,,BREDA,4811,477247,5159061,20700,0,132,MG,N,N,0
F,OC,66,,PERPIGNAN,66000,288741,4269814,F,PR,6,,NICE,6200,727848,4370155,10000,0,100,MG,N,N,0
F,AQ,33,,COUTRAS,33230,-13150,4503850,F,AL,67,,SAVERNE,67700,736602,4873947,20000,0,136,MG,N,N,0
F,AL,68,,KAYSERSBERG,68240,726161,4813846,F,CH,52,,CHAUMONT,52000,513606,4811011,20000,0,136,MG,N,N,0
B,HT,71,,LA LOUVI�RE,7100,418841,5047335,F,AL,57,,FLORANGE,57190,612391,4932252,23000,0,0,MG,N,N,0
D,RL,41,,ERKELENZ,41812,631769,5107893,I,5,ROM,48,RAVENNA,48100,1219785,4441413,3600,0,25,MG,N,N,0
PL,4,4,41,BYTOM,41-902,1891538,5034907,PL,6,6,63,PLESZEW,63-300,1778353,5189864,24000,0,136,MG,N,N,0
D,ON,37,,HOLZMINDEN,37603,946215,5182594,NL,ZL,43,,BORSELE,4389,369620,5144225,15000,0,136,MG,N,N,0
F,AL,57,,THIONVILLE,57100,615519,4936029,F,CE,45,,ORL�ANS,45000,190790,4791025,18000,0,130,MG,N,N,0
F,RA,69,,LYON,69002,482900,4575940,I,2,TAA,39,BOLZANO,39100,1135436,4649499,3000,0,24,MG,N,N,0
F,NO,14,,LISIEUX,14100,23472,4914561,F,AQ,40,,MIMIZAN,40200,-123268,4420287,3000,0,45,MG,N,N,0
F,PL,85,,LA ROCHE-SUR-YON,85000,-142793,4666763,F,AQ,33,,MASSUGAS,33790,8646,4476755,800,0,15,MG,N,N,0
E,E2,B,8,VILAFRANCA DEL PENED�S,8720,169920,4134479,F,MP,46,,FIGEAC,46100,203121,4460854,25200,0,136,MG,N,N,0
F,AQ,33,,BORDEAUX,33200,-58107,4483661,I,2,VEN,31,TREVISO,31100,1224028,4566964,24000,0,136,MG,N,N,0
NL,LB,64,,HEERLEN,6411,598097,5088551,D,BW,89,,ULM,89073,999422,4840095,24000,0,136,MG,N,N,0
F,CH,8,,SEDAN,8200,494380,4970241,F,RA,26,,VALENCE,26000,490379,4492625,24000,0,136,MG,N,N,0
I,4,EMI,42,REGGIO NELL EMILIA,42100,1062814,4469334,I,1,LOM,23,LECCO,23900,940321,4585353,28000,0,136,MG,N,N,0
F,AQ,33,,BAZAS,33430,-21255,4443291,F,BF,21,,DIJON,21000,504419,4732639,1000,0,11,MG,N,N,0
